 # &SUB apertr  0.3                                                              
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.2815E-03 -0.9980E+03 -0.9980E+03 -0.9163E+00  0.9874E-01  0.2004E-01 -0.3202E-02  0.0000E+00  0.0000E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1818E-02  0.9967E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.9967E-03  0.5530E-04  0.4705E-04  0.3023E-01 -0.2500E-01 -0.8176E-02  0.7252E-04
     4  0.2000E-01  0.0000E+00  0.2785E-03  0.4315E-05  0.5533E-12 -0.1004E+01  0.9739E-01  0.2200E-01 -0.7834E-01  0.3796E-01 -0.2299E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1971E-02  0.1016E-02  0.2612E-11  0.8687E+00  0.2020E-08  0.7522E-03  0.2782E-04  0.6104E-04 -0.1866E-01 -0.4188E-01  0.1413E+00  0.1228E-02
     6  0.3000E-01  0.0000E+00  0.2767E-03  0.6614E-05  0.8314E-12 -0.1056E+01  0.9670E-01  0.2311E-01 -0.3215E-01  0.5590E-01 -0.2407E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.2059E-02  0.1021E-02  0.3941E-11  0.8684E+00  0.3051E-08  0.7636E-03  0.3754E-04  0.7925E-04 -0.3031E-01 -0.1649E-01  0.2167E+00  0.2005E-02
     8  0.4000E-01  0.0000E+00  0.2762E-03  0.9070E-05  0.1131E-11 -0.1050E+01  0.9600E-01  0.2297E-01  0.3629E-01  0.7289E-01 -0.2573E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.2045E-02  0.1034E-02  0.5280E-11  0.8737E+00  0.4063E-08  0.7801E-03  0.5795E-04  0.8296E-04 -0.1720E-01  0.6351E-02  0.2071E+00  0.1993E-02
    10  0.5000E-01  0.0000E+00  0.2743E-03  0.1160E-04  0.1418E-11 -0.9938E+00  0.9530E-01  0.2177E-01  0.8759E-01  0.8889E-01 -0.2771E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1922E-02  0.1042E-02  0.6626E-11  0.8744E+00  0.5132E-08  0.7966E-03  0.7521E-04  0.6744E-04  0.8778E-02  0.8622E-02  0.1198E+00  0.1217E-02
    12  0.6000E-01  0.0000E+00  0.2722E-03  0.1428E-04  0.1693E-11 -0.9140E+00  0.9459E-01  0.2007E-01  0.8149E-01  0.1041E+00 -0.2846E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1754E-02  0.1045E-02  0.7982E-11  0.8605E+00  0.6167E-08  0.8121E-03  0.7027E-04  0.4490E-04  0.2417E-01 -0.1497E-01  0.1706E-01  0.2923E-03
    14  0.7000E-01  0.0000E+00  0.2714E-03  0.1698E-04  0.1995E-11 -0.8545E+00  0.9389E-01  0.1892E-01  0.1613E-01  0.1189E+00 -0.3040E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1634E-02  0.1053E-02  0.9350E-11  0.8584E+00  0.7210E-08  0.8261E-03  0.4903E-04  0.3961E-04  0.1239E-01 -0.4081E-01 -0.1539E-01 -0.1557E-04
    16  0.8000E-01  0.0000E+00  0.2693E-03  0.1999E-04  0.2276E-11 -0.8746E+00  0.9318E-01  0.1932E-01 -0.6255E-01  0.1330E+00 -0.3068E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1660E-02  0.1060E-02  0.1072E-10  0.8565E+00  0.8211E-08  0.8414E-03  0.3398E-04  0.5675E-04 -0.1454E-01 -0.4402E-01  0.5884E-01  0.5190E-03
    18  0.9000E-01  0.0000E+00  0.2671E-03  0.2292E-04  0.2557E-11 -0.9515E+00  0.9245E-01  0.2091E-01 -0.9398E-01  0.1459E+00 -0.3214E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1792E-02  0.1069E-02  0.1209E-10  0.8554E+00  0.9262E-08  0.8567E-03  0.4323E-04  0.7697E-04 -0.3093E-01 -0.2017E-01  0.1565E+00  0.1389E-02
    20  0.1000E+00  0.0000E+00  0.2652E-03  0.2594E-04  0.2852E-11 -0.1022E+01  0.9171E-01  0.2235E-01 -0.4196E-01  0.1585E+00 -0.3457E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1911E-02  0.1081E-02  0.1347E-10  0.8591E+00  0.1035E-07  0.8735E-03  0.6510E-04  0.7821E-04 -0.2119E-01  0.3977E-02  0.1882E+00  0.1774E-02
